ref_pmid,ref_is_clinical_trial_pt_type,ref_publication_types,ref_primary_nct_number,ref_primary_nct_source,ref_all_registry_ids,ref_all_nct_numbers,ref_all_structured_nct_numbers,ref_all_nct_source_pairs,ref_all_structured_nct_source_pairs,ref_has_abstract,ref_abstract,ref_fetch_status
31008318,False,Journal Article,,,,,,,,True,"Research has suggested that delivery is associated with an increased risk of stroke in women; however, there is a lack of contemporary estimates on the incidence of stroke in and after pregnancy compared with the baseline risk in women of childbearing age in Sweden. All women aged 15-49 years with live births/stillbirths in 1992-2011 were identified from the Swedish Medical Birth Registry linked with the National Patient Registry. First stroke during the study period was identified. Incidence rates per 100,000 person-years and adjusted incidence rate ratios (IRRs) were calculated for antepartum, peripartum and early and late postpartum periods, compared with all other available follow-up time (time before pregnancy and after postpartum) using Poisson regression adjusted for maternal age, education attainment and calendar time. Of 1,124,541 women, 3094 had a first incident stroke (331 occurred during pregnancy or first 12 weeks postpartum), about half having ischaemic stroke. The incidence was 15.0 per 100,000 person-years (95% confidence interval 14.5-15.6) in non-pregnant time. The incidence was lower antepartum (7.3/100,000 person-years, 6.0-8.9; adjusted IRR = 0.7, 0.5-0.8) but higher peripartum (314.4/100,000 person-years, 247.5-399.5; adjusted IRR = 27.3, 21.4-34.9) and early postpartum (64.0/100,000 person-years, 54.1-75.7; adjusted IRR = 5.5, 4.6-6.6). The increased risk in peripartum was more evident for intracerebral haemorrhage than other types of stroke. Overall risk of stroke was low in women of childbearing age, but stroke risk peaks in the peripartum and early postpartum periods. Future work should address factors that contribute to this increased risk in order to develop approaches to attenuate risk.",success
37721605,False,"Journal Article;Practice Guideline;Research Support, Non-U.S. Gov't;Systematic Review",,,,,,,,True,Hypertensive disorders of pregnancy are among the leading causes of maternal morbidity and mortality in the US. The rate of hypertensive disorders of pregnancy has been increasing from approximately 500 cases per 10 000 deliveries in 1993 to 1021 cases per 10 000 deliveries in 2016 to 2017. The US Preventive Services Task Force (USPSTF) commissioned a systematic review to evaluate the benefits and harms of screening for hypertensive disorders of pregnancy. Pregnant persons without a known diagnosis of a hypertensive disorder of pregnancy or chronic hypertension. The USPSTF concludes with moderate certainty that screening for hypertensive disorders in pregnancy with blood pressure measurements has substantial net benefit. The USPSTF recommends screening for hypertensive disorders in pregnant persons with blood pressure measurements throughout pregnancy. (B recommendation).,success
37031763,False,"Journal Article;Research Support, N.I.H., Extramural",,,,,,,,True,"Despite the well-known association between hypertensive disorders of pregnancy and cardiovascular diseases, there are limited data on which specific cardiovascular diagnoses have the greatest risk profiles during the first 24 months after delivery. Most existing data on hypertensive disorders of pregnancy and short-term cardiovascular disease risks are limited to the immediate postpartum period; however, it is crucial to determine cardiovascular disease risk up to 24 months after delivery to inform cardiovascular disease screening protocols during the extended postpartum period. This study aimed to delineate the risk of cardiovascular diagnoses in the first 24 months after delivery among patients with hypertensive disorders of pregnancy compared with patients without hypertensive disorders of pregnancy. This longitudinal population-based study included pregnant individuals with deliveries during 2007 to 2019 in the Maine Health Data Organization's All Payer Claims Data. This study excluded patients with preexisting cardiovascular disease, with multifetal pregnancies, or without continuous insurance during pregnancy. Hypertensive disorders of pregnancy and cardiovascular diseases (categorized by specific conditions: heart failure, ischemic heart disease, arrhythmia or cardiac arrest, cardiomyopathy, cerebrovascular disease or stroke, and new chronic hypertension) were identified using International Classification of Diseases, Ninth Revision, and International Classification of Diseases, Tenth Revision, diagnosis codes. Cox proportional hazards models were used to estimate hazard ratios, adjusting for potential confounding factors. Of the 119,422 pregnancies examined, the cumulative risk of cardiovascular disease within 24 months after delivery for those with hypertensive disorders of pregnancy vs those without hypertensive disorders of pregnancy was 0.6% vs 0.2% for heart failure, 0.3% vs 0.1% for ischemic heart disease, 0.2% vs 0.2% for arrhythmia or cardiac arrest, 0.6% vs 0.2% for cardiomyopathy, 0.8% vs 0.4% for cerebrovascular disease or stroke, 1.6% vs 0.7% for severe cardiac disease (composite outcome of heart failure, cerebrovascular disease or stroke, or cardiomyopathy), and 9.7% vs 1.5% for new chronic hypertension. After adjustment for potential confounders, those with hypertensive disorders of pregnancy had an increased risk of heart failure, cerebrovascular disease, cardiomyopathy, and severe cardiac disease within the first 24 months after delivery (adjusted hazard ratio, 2.81 [95% confidence interval, 1.90-4.15], 1.43 [95% confidence interval, 1.07-1.91], 2.90 [95% confidence interval, 1.96-4.27], and 1.90 [95% confidence interval, 1.54-2.30], respectively) compared with those without hypertensive disorders of pregnancy. In addition, those with hypertensive disorders of pregnancy had an increased risk for new chronic hypertension diagnosed after 42 days after delivery (adjusted hazard ratio, 7.29; 95% confidence interval, 6.57-8.09). There was no association between hypertensive disorders of pregnancy and ischemic heart disease (adjusted hazard ratio, 0.92; 95% confidence interval, 0.55-1.54) or cardiac arrest or arrhythmia (adjusted hazard ratio, 0.90; 95% confidence interval, 0.52-1.57). In addition, among women with hypertensive disorders of pregnancy, the highest proportion of first cardiovascular disease diagnoses occurred during the first month after delivery for cardiomyopathy (44%), heart failure (39%), cerebrovascular disease or stroke (39%), and severe cardiac disease (41%). Patients with hypertensive disorders of pregnancy had an increased risk of developing new chronic hypertension, heart failure, cerebrovascular disease, and cardiomyopathy within 24 months after delivery. There was no association between hypertensive disorders of pregnancy and ischemic heart disease or cardiac arrest or arrhythmia. Patients with hypertensive disorders of pregnancy need targeted early postpartum interventions and increased monitoring in the first 24 months after delivery. This may preserve long-term health and improve maternal and neonatal outcomes in a subsequent pregnancy.",success
31430824,False,"Journal Article;Research Support, N.I.H., Extramural",,,,,,,,True,"To characterize risk and temporal trends for preeclampsia and related outcomes by maternal age. Deliveries to women aged 15 to 54 years in the 1998 to 2014 National Inpatient Sample who had a diagnosis of preeclampsia, eclampsia, or both were included in the analysis. Age was categorized as 15 to 17, 18 to 24, 25 to 29, 30 to 34, 35 to 39, 40 to 44, and 45 to 54 years. The primary outcome was temporal trends in preeclampsia based on maternal age. Secondary outcomes analyzed included risk for severe maternal morbidity. The proportion of women with preeclampsia aged 15 to 24 years decreased from 42.3% in 1998 to 30.1% in 2014, while preeclampsia among those 30 to 54 years increased from 32.9 to 43.7%. Preeclampsia risk increased for all groups over the study period. Risk for severe morbidity by age group with and without transfusion was ""U-shaped,"" with risk highest for women 18 to 24 and 40 to 54 years. The risk for abruption, acute renal failure, acute heart failure or pulmonary edema, and stroke was lowest for women aged 15 to 24 years and increased in a ""dose-dependent"" manner with increasing maternal age. In contrast, eclampsia risk was highest for women aged 15 to 17 years. With a changing demographic profile of preeclampsia, older women accounted for an increasing proportion of preeclampsia and related adverse outcomes.",success
32478828,False,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't",,,,,,,,True,This cohort study examines the extent to which hypertensive disorders mediate the association between migraines and maternal stroke.,success
31948647,False,Journal Article;Observational Study,,,,,,,,True,"Acute stroke during pregnancy or within 6 weeks of childbirth is devastating for the mother and her family, yet data regarding incidence and contemporary trends are very limited. This study sought to investigate the incidence and outcomes of acute stroke and transient ischemic attack during pregnancy or within 6 weeks of childbirth in a large database. The National Inpatient Sample was queried to identify women age ≥18 years in the United States with pregnancy-related hospitalizations from January 1, 2007, to September 30, 2015. Temporal trends in acute stroke (ischemic and hemorrhagic)/transient ischemic attack incidence and in-hospital mortality were extracted. Among 37,360,772 pregnancy-related hospitalizations, 16,694 (0.045%) women had an acute stroke. The rates of acute stroke did not change (42.8 per 100,000 hospitalizations in 2007 vs. 42.2 per 100,000 hospitalizations in 2015; p<sub>trends</sub> = 0.10). Among those with acute stroke, there were increases in prevalence of obesity, smoking, hyperlipidemia, migraine, and gestational hypertension. Importantly, in-hospital mortality rates were almost 385-fold higher among those who had a stroke (42.1 per 1,000 pregnancy-related hospitalizations vs. 0.11 per 1,000 pregnancy-related hospitalizations; p < 0.0001). The rates of in-hospital mortality among pregnant women with acute stroke decreased (5.5% in 2007 vs. 2.7% in 2015; p<sub>trends</sub> < 0.001). In this contemporary analysis of pregnancy-related hospitalizations, acute stroke occurred in 1 of every 2,222 hospitalizations, and these rates did not decrease over approximately 9 years. The prevalence of most stroke risk factors has increased. Acute stroke during pregnancy and puerperium was associated with high maternal mortality, although it appears to be trending downward. Future studies to better identify mechanisms and approaches to prevention and management of acute stroke during pregnancy and puerperium are warranted.",success
25304764,False,Journal Article;Systematic Review,,,,,,,,True,"The objective of this article is to review the literature relating migraine, cardiovascular disease, and stroke during pregnancy in order to better define the relationship between migraines and vascular disease. We conducted a systematic review of the literature using Medline and Cochrane Review with the following search terms: migraine AND pregnancy and vascular disease OR myocardial infarction OR heart disease OR stroke OR cerebrovascular disease OR hypertension in pregnancy. We also reviewed the bibliographies of papers identified in this search to obtain additional relevant studies. Of the 219 papers obtained with the primary search, we found 17 that were topically relevant. Altogether, there is an increased risk both of gestational hypertension (OR range from 1.23 to 1.68) and preeclampsia (OR range 1.08 to 3.5) in migraineurs compared to nonmigraineurs. In addition, there is an association between an increased risk of ischemic stroke in pregnancy (OR range 7.9 to 30.7), particularly with active migraine. There is also an association between migraine and increased risk of acute myocardial infarction and heart disease (OR 4.9; 95% CI 1.7, 14.2), and thromboembolic events during pregnancy (deep venous thrombosis OR 2.4; 95% CI 1.3, 4.2 and pulmonary embolus OR 3.1; 95% CI 1.7, 5.6). In this review, we summarized the association between migraine and risk of vascular disease during pregnancy, based on the available literature. Given the limited amount of data, more research on these associations is needed to determine which women with migraine may be at risk while pregnant.",success
36283885,False,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't",,,,,,,,True,"Women who conceive through assisted reproductive technology (ART) have a known increased risk of obstetric complications. However, whether ART is also associated with higher risk of developing cardiovascular complications during delivery admissions has not been well established. We used data from the National Inpatient Sample (2008 to 2019) and used the International Classification of Diseases codes to identify delivery hospitalizations and ART procedures. A total of 45,867,086 weighted delivery cases were identified, of which 0.24% were among women who conceived through ART (n = 108,542). Women with an ART history were older at the time of delivery (median 35 vs 28 years, p <0.01) and had a higher prevalence of hypertension, gestational diabetes, and dyslipidemia (all, p <0.01). After adjustment for age, race/ethnicity, co-morbidities, multiple gestation, insurance, and income, ART remained an independent predictor of peripartum cardiovascular complications, including pre-eclampsia/eclampsia (adjusted odds ratio [aOR] 1.48, 95% confidence interval [CI] 1.45 to 1.51), heart failure (aOR 1.94, 95% CI 1.10 to 3.40), and cardiac arrhythmias (aOR 1.39, 95% CI 1.30 to 1.48), compared with natural conception. Likewise, the risk of acute kidney injury (aOR 2.57, 95% CI 2.25 to 2.92), ischemic stroke (aOR 1.73, 95% CI 1.24 to 2.43), hemorrhagic stroke (aOR 1.63, 95% CI 1.27 to 2.11), pulmonary edema (aOR 2.29, 95% CI 2.02 to 2.61), and venous thromboembolism (aOR 1.92, 95% CI 1.63 to 2.25) were higher with ART. However, odds of developing peripartum cardiomyopathy or acute coronary syndrome were not associated with ART. Length of stay (3 vs 2 days, p <0.01) and cost of hospitalization ($5,903 vs $3,922, p <0.01) were higher for deliveries among women with a history of ART. In conclusion, women who conceived with ART had higher risk of pre-eclampsia, heart failure, arrhythmias, stroke, and other complications during their delivery hospitalizations. This may, in part, contribute to their increased resource utilization seen.",success
34638134,False,"Journal Article;Research Support, Non-U.S. Gov't",,,,,,,,True,"The aim of this study was to provide population-based data on maternal and neonatal complications and outcome in the pregnancies of women with congenital heart disease (CHD). Based on administrative data from one of the largest German Health Insurance Companies (BARMER GEK, ∼9 million members representative for Germany), all pregnancies in women with CHD between 2005 and 2018 were analysed. In addition, an age-matched non-CHD control group was included for comparison and the association between adult CHD (ACHD) and maternal or neonatal outcomes investigated. Overall, 7512 pregnancies occurred in 4015 women with CHD. The matched non-CHD control group included 6502 women with 11 225 pregnancies. Caesarean deliveries were more common in CHD patients (40.5% vs. 31.5% in the control group; P < 0.001). There was no excess mortality. Although the maternal complication rate was low in absolute terms, women with CHD had a significantly higher rate of stroke, heart failure and cardiac arrhythmias during pregnancy (P < 0.001 for all). Neonatal mortality was low but also significantly higher in the ACHD group (0.83% vs. 0.22%; P = 0.001) and neonates to CHD mothers had low/extremely low birth weight or extreme immaturity (<0.001) or required resuscitation and mechanical ventilation more often compared to non-CHD offspring (P < 0.001 for both). On multivariate logistic regression maternal defect complexity, arterial hypertension, heart failure, prior fertility treatment, and anticoagulation with vitamin K antagonists emerged as significant predictors of adverse neonatal outcome (P < 0.05 for all). Recurrence of CHD was 6.1 times higher in infants to ACHD mothers compared to controls (P < 0.0001). This population-based study illustrates a reassuringly low maternal mortality rate in a highly developed healthcare system. Nevertheless, maternal morbidity and neonatal morbidity/mortality were significantly increased in women with ACHD and their offspring compared to non-ACHD controls highlighting the need of specialized care and pre-pregnancy counselling.",success
29678837,False,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't",,,,,,,,True,"Peripartum strokes during delivery admissions are rare but have high maternal morbidity. Infections have been proposed as a possible stroke trigger. We hypothesized that women who had infections diagnosed at the time of delivery admission would have higher risk of stroke during their delivery hospitalization. We conducted a case-control study using state inpatient administrative databases for California (2007-2011), Florida (2009-2011), and New York (2009-2011). Women whose admission included a vaginal or cesarean delivery, with a new diagnosis of stroke during the admission, were considered cases and were randomly matched to 3 in-state controls by age/admission year and presence and severity of hypertensive disorders of pregnancy. The primary exposure of interest was infection of any type present on admission. Secondary exposures included race/ethnicity, payer status, delivery method, and known vascular risk factors such as chronic hypertension, diabetes mellitus, smoking, alcohol abuse, hypercoagulable states, coagulopathies, and renal disease. We used multivariable conditional logistic regression to estimate the odds ratios and 95% confidence intervals for the association of infections and known vascular risk factors with stroke risk. A total of 455 cases (mean age, 29.8), of whom 195 (42.9%) had hypertensive disorders of pregnancy, were matched with 1365 controls. Infection of any type present on admission increased the odds of stroke diagnosis during the admission (adjusted odds ratio, 1.74; 95% confidence interval, 1.29-2.35). Risk was higher for genitourinary infections (adjusted odds ratio, 2.56; 95% confidence interval, 1.25-5.24) and sepsis (adjusted odds ratio, 10.4; 95% confidence interval, 2.15-20.0). The association between infection and stroke during delivery admission did not differ by the presence of hypertensive disorders of pregnancy. Infections present on admission increased stroke risk during delivery admissions in women with and without hypertensive disorders of pregnancy. The results were driven by genitourinary infections and sepsis. Infections may be an underrecognized precipitant of peripartum stroke.",success
