ref_pmid,ref_nct_number,ref_primary_nct_number,ref_primary_nct_source,ref_is_pubmed_clinical_trial,ref_publication_types,ref_nct_source,ref_is_primary_nct_for_pmid,ref_nct_order_in_pmid
16382063,NCT00006182,NCT00006182,databank,True,"Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, N.I.H., Extramural",databank,True,1
16391217,NCT00051376,NCT00051376,databank,True,"Journal Article;Randomized Controlled Trial;Research Support, N.I.H., Extramural",databank,True,1
16782490,NCT00298051,NCT00298051,databank,True,"Journal Article;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
17124017,NCT00098709,NCT00098709,databank,True,"Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, N.I.H., Extramural",databank,True,1
17174705,NCT00333944,NCT00333944,databank,True,Journal Article;Randomized Controlled Trial,databank,True,1
17179052,NCT00074984,NCT00074984,databank,True,"Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't",databank,True,1
17848651,NCT00052026,NCT00052026,databank,True,"Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
17855669,NCT00344526,NCT00344526,databank,True,"Comparative Study;Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
17981912,NCT00230685,NCT00230685,databank,False,"Journal Article;Research Support, Non-U.S. Gov't",databank,True,1
18398080,NCT00047424,NCT00047424,databank,True,"Comparative Study;Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, N.I.H., Extramural",databank,True,1
18403765,NCT00231270,NCT00231270,databank,True,"Comparative Study;Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
18479744,NCT00182039,NCT00182039,databank,True,"Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
18490527,NCT00234585,NCT00234585,databank,True,"Clinical Trial, Phase II;Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
18504334,NCT00228293,NCT00228293,databank,False,"Comparative Study;Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't",databank,True,1
18511605,NCT00124969,NCT00124969,databank,True,Journal Article;Multicenter Study;Randomized Controlled Trial,databank,True,1
18539917,NCT00000620,NCT00000620,databank,True,"Comparative Study;Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, P.H.S.",databank,True,1
18757090,NCT00336336,NCT00336336,databank,True,"Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
18815396,NCT00153036,NCT00153036,databank,True,"Clinical Trial, Phase III;Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
19092151,NCT00157261,NCT00157261,databank,True,"Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
19141764,NCT00106327,NCT00106327,databank,True,"Journal Article;Randomized Controlled Trial;Research Support, N.I.H., Extramural;Research Support, N.I.H., Intramural",databank,True,1
19153263,NCT00067665,NCT00067665,databank,True,"Journal Article;Randomized Controlled Trial;Research Support, N.I.H., Extramural",databank,True,1
19289640,NCT00007683,NCT00007683,databank,True,"Journal Article;Randomized Controlled Trial;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, Non-P.H.S.",databank,True,1
19318384,NCT00220987,NCT00220987,databank,True,"Comparative Study;Journal Article;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",databank,True,1
