guideline_pmid,citations_in_scenario,avg_sex_score,max_sex_score,citations_with_sex,cites_sex_differences,cites_sex_stratification,cites_sex_subgroup,sex_snippets_count,sex_evidence_snippets,exclusion_snippets_count,exclusion_evidence_snippets,pct_citing_sex,scenario_id,category
31813278,45.0,0.51,2.0,16.0,0.0,0.0,0.0,0.0,,0.0,,35.6,S1_PubMed_PT,Weak
31838890,9.0,0.11,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,,11.1,S1_PubMed_PT,Weak
31857196,19.0,0.63,2.0,8.0,0.0,0.0,0.0,0.0,,0.0,,42.1,S1_PubMed_PT,Weak
32068084,29.0,0.66,2.0,12.0,1.0,0.0,0.0,1.0,"[ABSTRACT] itral valve prolapse and holosystolic mr for age, gender, atrial fibrillation, ejection fraction, and ero (flow convergence). mid-late systolic mr versus holosystolic mr groups were well matched, including for comorbidity, blood pressure, and heart rate (all p>0.10). mid-late systolic mr versus holosystolic mr caused similar color jet area, midsystolic regurgitant flow, and peak velocity (p>0.40). despite identical ero (0.25±0.15 versus 0.25±0.15 cm(2); p=0.53), the shorter duration of mid-late systolic mr (233±56 versus 426±50 ms; p<0.0001) yielded lower regurgitant volume (24.8±13.4 versus 48.6±25.6 ml; p<0.0001). mr consequences, systolic pulmonary pressure, and left ventricular and left atrial volume index (all p<0.001) were more benign in mid-late systolic mr versus holosys...[truncated]",0.0,,41.4,S1_PubMed_PT,Weak
32148086,45.0,0.67,2.0,21.0,0.0,0.0,0.0,0.0,,0.0,,46.7,S1_PubMed_PT,Weak
32443079,23.0,1.04,5.0,18.0,1.0,0.0,1.0,0.0,,0.0,,78.3,S1_PubMed_PT,Moderate
32453156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,S1_PubMed_PT,Inadequate - No Trials Cited
32460555,8.0,0.5,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,,25.0,S1_PubMed_PT,Weak
32776842,2.0,1.5,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,,100.0,S1_PubMed_PT,Moderate
33028085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,S1_PubMed_PT,Inadequate - No Trials Cited
33070654,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,S1_PubMed_PT,Inadequate - No Sex Consideration
33081524,36.0,0.19,2.0,6.0,0.0,0.0,0.0,0.0,,0.0,,16.7,S1_PubMed_PT,Weak
33081527,100.0,0.09,1.0,9.0,0.0,0.0,0.0,0.0,,0.0,,9.0,S1_PubMed_PT,Weak
33081528,65.0,0.62,2.0,29.0,0.0,0.0,0.0,0.0,,0.0,,44.6,S1_PubMed_PT,Weak
33170755,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,S1_PubMed_PT,Inadequate - No Sex Consideration
33250265,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,S1_PubMed_PT,Inadequate - No Sex Consideration
33417901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,S1_PubMed_PT,Inadequate - No Trials Cited
33518378,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,,100.0,S1_PubMed_PT,Moderate
33691468,12.0,1.08,2.0,7.0,0.0,0.0,0.0,0.0,,0.0,,58.3,S1_PubMed_PT,Moderate
33827230,54.0,0.7,3.0,24.0,0.0,0.0,0.0,0.0,,4.0,"l woman within 12 months of last menses without a negative pregnancy test or not committing to adequate birth control (e.g. || angiography that is considered atherosclerotic
6. negative pregnancy test in a female who has had any menses in the last 18 || ricular assist device
* pregnancy or lactation (a negative pregnancy test must be obtained prior to randomization for women",44.4,S1_PubMed_PT,Weak
33840208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,S1_PubMed_PT,Inadequate - No Trials Cited
33934611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,S1_PubMed_PT,Inadequate - No Trials Cited
34024115,17.0,1.24,3.0,9.0,0.0,0.0,0.0,0.0,,8.0,"liable contraception who do not have a documented negative pregnancy test
* currently receiving an investigational drug or || liable contraception who do not have a documented negative pregnancy test
* currently receiving an investigational drug or || liable contraception who do not have a documented negative pregnancy test
* currently receiving an investigational drug or",52.9,S1_PubMed_PT,Moderate
34074137,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,S1_PubMed_PT,Inadequate - No Sex Consideration
34187171,17.0,0.47,2.0,6.0,1.0,0.0,0.0,1.0,[ABSTRACT] 7% had received midazolam 0.06 mg kg(-1). age and gender differences in neuropsychological and physiological responses,0.0,,35.3,S1_PubMed_PT,Weak
34315230,46.0,0.96,3.0,30.0,5.0,0.0,0.0,5.0,"[ABSTRACT] c whites. these data suggest intrinsic ethnic and gender differences in abi. such differences, although small in magni || [ABSTRACT] h special attention to critical limb ischemia and sex differences. an age-standardized randomly selected population || [ABSTRACT] 7.3). pad prevalence and incidence did not differ by sex alone. this study provides comprehensive estimate || [ABSTRACT] this study sought to examine sex-related differences in outcomes related to peripheral vascular intervention (pvi) procedures. percutaneous pvi is frequently performed for the treatment of peripheral arterial disease (pad). however, little is known about sex-related differences related to pvi procedures. we assessed the impact of sex among 12,379 patients (41% female) who underwent lower extremity (le)...[truncated]",0.0,,65.2,S1_PubMed_PT,Weak
34404224,14.0,0.5,1.0,7.0,0.0,0.0,0.0,0.0,,0.0,,50.0,S1_PubMed_PT,Weak
34407637,4.0,0.75,1.0,3.0,0.0,0.0,0.0,0.0,,0.0,,75.0,S1_PubMed_PT,Weak
34496612,14.0,0.43,2.0,4.0,0.0,0.0,0.0,0.0,,0.0,,28.6,S1_PubMed_PT,Weak
34632822,8.0,0.25,2.0,1.0,0.0,0.0,0.0,0.0,,0.0,,12.5,S1_PubMed_PT,Weak
34648743,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,,100.0,S1_PubMed_PT,Moderate
