scenario_id,metric,value,calculation,source_columns
S1_PubMed_PT,Total Count,1527,Total citations in this scenario,Row count
S1_PubMed_PT,Unique Guidelines,70,Count of unique guideline PMIDs,guideline_pmid
S1_PubMed_PT,Unique References,1455,Count of unique reference PMIDs (excluding NaN),ref_pmid
S1_PubMed_PT,Citations/Trials Mentioning Sex,615,Citations where sex_consideration_score > 0,sex_consideration_score (calculated from flags)
S1_PubMed_PT,Mentioning Sex %,40.3%,Mentioning Sex / Total × 100,sex_consideration_score
S1_PubMed_PT,Mentions Sex Differences,31,Count where any_source_mentions_sex_differences == True,any_source_mentions_sex_differences
S1_PubMed_PT,Mentions Sex Stratification,4,Count where any_source_mentions_sex_stratification == True,any_source_mentions_sex_stratification
S1_PubMed_PT,Mentions Sex Subgroup,3,Count where any_source_mentions_sex_subgroup == True,any_source_mentions_sex_subgroup
S1_PubMed_PT,Mentions Pregnancy Related,303,Count where any_source_pregnancy_related == True,any_source_pregnancy_related
S1_PubMed_PT,Mentions Menopause Related,32,Count where any_source_menopause_related == True,any_source_menopause_related
S1_PubMed_PT,Mentions Hormone Related,11,Count where any_source_sex_hormone_related == True,any_source_sex_hormone_related
S1_PubMed_PT,Avg Sex Consideration Score,0.63,Mean of sex_consideration_score,sex_consideration_score
S1_PubMed_PT,Median Sex Consideration Score,0.0,Median of sex_consideration_score,sex_consideration_score
