scenario_id,metric,value,calculation,source_columns
S2_PubMed_OR_NCT,Total Count,1612,Total citations in this scenario,Row count
S2_PubMed_OR_NCT,Unique Guidelines,71,Count of unique guideline PMIDs,guideline_pmid
S2_PubMed_OR_NCT,Unique References,1535,Count of unique reference PMIDs (excluding NaN),ref_pmid
S2_PubMed_OR_NCT,Citations/Trials Mentioning Sex,698,Citations where sex_consideration_score > 0,sex_consideration_score (calculated from flags)
S2_PubMed_OR_NCT,Mentioning Sex %,43.3%,Mentioning Sex / Total × 100,sex_consideration_score
S2_PubMed_OR_NCT,Mentions Sex Differences,36,Count where any_source_mentions_sex_differences == True,any_source_mentions_sex_differences
S2_PubMed_OR_NCT,Mentions Sex Stratification,5,Count where any_source_mentions_sex_stratification == True,any_source_mentions_sex_stratification
S2_PubMed_OR_NCT,Mentions Sex Subgroup,3,Count where any_source_mentions_sex_subgroup == True,any_source_mentions_sex_subgroup
S2_PubMed_OR_NCT,Mentions Pregnancy Related,331,Count where any_source_pregnancy_related == True,any_source_pregnancy_related
S2_PubMed_OR_NCT,Mentions Menopause Related,36,Count where any_source_menopause_related == True,any_source_menopause_related
S2_PubMed_OR_NCT,Mentions Hormone Related,14,Count where any_source_sex_hormone_related == True,any_source_sex_hormone_related
S2_PubMed_OR_NCT,Avg Sex Consideration Score,0.68,Mean of sex_consideration_score,sex_consideration_score
S2_PubMed_OR_NCT,Median Sex Consideration Score,0.0,Median of sex_consideration_score,sex_consideration_score
