column_name,display_name,description,data_type,example_values,source,search_terms,sources_searched,calculation_logic,used_in_scoring
guideline_pmid,Guideline PMID,PubMed ID of clinical practice guideline,string,31857196,Phase 1: PubMed query,N/A - Direct field,N/A,Direct from PubMed,No
ref_pmid,Reference PMID,PubMed ID of cited reference,string,19679246,Phase 2: CrossRef citations → PubMed match,N/A - Direct field,N/A,Direct from CrossRef/PubMed match,No
ref_primary_nct_number,Primary NCT Number,Primary ClinicalTrials.gov registry number,string,NCT00000001,Phase 3: NCT extraction from PubMed,N/A - Regex extraction,PubMed structured fields,Regex pattern: NCT\d{8},No
ref_is_clinical_trial_pt_type,Is Clinical Trial (PubMed PT),PubMed publication type indicates clinical trial,boolean,True/False,Phase 3: PubMed PublicationType field,N/A - Metadata field,PubMed PublicationType,"True if PublicationType contains ""Clinical Trial""",No (used for scenario definitions)
ref_title_mentions_sex,Title Mentions Sex/Gender,Reference title mentions sex or gender terms,boolean,True/False,Phase 7: Text analysis of ref_title,"sex, gender, male, female, men, women, man, woman (case-insensitive, word boundaries)",ref_title only,OR logic: True if ANY term found as whole word in title,No (informational only)
ref_abstract_mentions_sex,Abstract Mentions Sex/Gender,Reference abstract mentions sex or gender terms,boolean,True/False,Phase 7: Text analysis of ref_abstract,"sex, gender, male, female, men, women, man, woman (case-insensitive, word boundaries)",ref_abstract only,OR logic: True if ANY term found as whole word in abstract,No (informational only)
nct_registry_mentions_sex,Registry Mentions Sex/Gender,Registry fields mention sex or gender terms,boolean,True/False,Phase 7: Text analysis of registry fields,"sex, gender, male, female, men, women, man, woman (case-insensitive, word boundaries)","nct_eligibility_criteria, nct_official_title, nct_brief_title, nct_primary_outcomes, nct_secondary_outcomes, nct_intervention_names",OR logic: True if ANY term found in ANY registry field,No (informational only)
any_source_mentions_sex_differences,Mentions Sex Differences,"Any source mentions sex/gender differences, disparities, or sex-specific patterns",boolean,True/False,Phase 7: Text analysis across all sources,"sex-specific, gender-specific, sex-based, gender-based, sex difference(s), gender difference(s), sex disparity/disparities, gender disparity/disparities, between men and women, between women and men, between males and females, between females and males, by sex, according to sex, between sexes, sex-disaggregated, sex-stratified, gender-stratified, sex as variable, gender as variable, sex analysis, gender analysis (case-insensitive)",ref_title + ref_abstract + nct_registry_fields,"OR logic across 18 patterns. Searches title, abstract, and all registry fields. Also elevated to True if sex_interaction found. Captures evidence snippets showing context (±50 chars).",Yes - HIGH VALUE (2 points)
any_source_mentions_sex_stratification,Mentions Sex Stratification,Any source mentions sex-stratified or sex-disaggregated analysis,boolean,True/False,Phase 7: Text analysis across all sources,"stratified by sex/gender, sex-stratified, gender-stratified, stratification by sex/gender, analyzed separately for sex/gender/men and women, separate analyses for sex/gender/men and women (case-insensitive)",ref_title + ref_abstract + nct_registry_fields,OR logic across 5 patterns. Searches all text sources.,Yes - HIGH VALUE (2 points)
any_source_mentions_sex_subgroup,Mentions Sex Subgroup Analysis,Any source mentions sex/gender subgroup analysis,boolean,True/False,Phase 7: Text analysis across all sources,"subgroup analysis [involving] sex/gender/men/women, sex/gender/men/women subgroup analysis, subgroup by sex/gender, sex subgroup, gender subgroup, interaction [with] sex/gender (case-insensitive)",ref_title + ref_abstract + nct_registry_fields,OR logic across 5 patterns. Searches all text sources. Also elevates sex_differences flag if not already True.,Yes - HIGH VALUE (2 points)
any_source_pregnancy_related,Mentions Pregnancy,"Any source mentions pregnancy, lactation, or maternal health",boolean,True/False,Phase 7: Text analysis across all sources,"pregnant, pregnancy, gestational, lactating, breastfeeding, postpartum, antenatal, prenatal, perinatal, obstetric (case-insensitive)",ref_title + ref_abstract + nct_registry_fields,OR logic across 10 patterns. Searches all text sources.,Yes - MEDIUM VALUE (1 point)
any_source_menopause_related,Mentions Menopause,Any source mentions menopause or related conditions,boolean,True/False,Phase 7: Text analysis across all sources,"menopause*, postmenopause*, perimenopause*, hot flash, hormone replacement, climacteric (case-insensitive, * = any ending)",ref_title + ref_abstract + nct_registry_fields,OR logic across 6 patterns. Searches all text sources.,Yes - MEDIUM VALUE (1 point)
