scenario_id,recommendation_id,priority,recommendation,description,affected_guidelines,guideline_pmids,current_state,target_state,rationale,evidence_file
S1_PubMed_PT,S1_PubMed_PT_R0,CRITICAL,Include Clinical Trial Evidence,5 guidelines (6.7%) cite ZERO trials under this scenario definition. These guidelines lack any trial evidence base for this scenario.,5,"[32453156, 33028085, 33417901, 33840208, 33934611]",0 trial citations in this scenario,Cite at least some clinical trials that meet scenario definition,Guidelines without trial evidence cannot provide evidence-based recommendations for clinical practice. This is the most fundamental gap.,recommendation_S1_PubMed_PT_R0_no_trials.csv
S1_PubMed_PT,S1_PubMed_PT_R1,HIGH,Address Inadequate Sex Consideration,7 guidelines (9.3%) cite trials but have inadequate sex consideration.,7,"[33070654, 33170755, 33250265, 34074137, 35072519, 36120864, 41164866]",<5% of citations mention sex or avg score <1,At least 10% of citations should mention sex with avg score ≥1,These guidelines cite trials but fail to systematically consider sex-based differences in their evidence review.,recommendation_S1_PubMed_PT_R1_inadequate_sex.csv
S1_PubMed_PT,S1_PubMed_PT_R2,MEDIUM,Strengthen Weak Sex Consideration,46 guidelines (61.3%) have weak sex consideration.,46,"[31813278, 31838890, 31857196, 32068084, 32148086, 32460555, 33081524, 33081527, 33081528, 33827230, 34187171, 34315230, 34404224, 34407637, 34496612, 34632822, 35306832, 35708012, 35862198, 36043414, 36055903, 36252095, 36307329, 36475715, 36503287, 36633003, 36912134, 37092336, 37288568, 38047353, 38314551, 38406869, 38415358, 38567497, 38634276, 38736080, 38779844, 38804130, 39315436, 39429201, 39676661, 39782908, 40373524, 40526054, 40966736, 41122889]",5-10% citations mention sex,≥20% citations mention sex with systematic stratification,These guidelines acknowledge sex but do not systematically integrate sex-based analysis.,recommendation_S1_PubMed_PT_R2_weak.csv
S2_PubMed_OR_NCT,S2_PubMed_OR_NCT_R0,CRITICAL,Include Clinical Trial Evidence,4 guidelines (5.3%) cite ZERO trials under this scenario definition. These guidelines lack any trial evidence base for this scenario.,4,"[32453156, 33028085, 33417901, 33840208]",0 trial citations in this scenario,Cite at least some clinical trials that meet scenario definition,Guidelines without trial evidence cannot provide evidence-based recommendations for clinical practice. This is the most fundamental gap.,recommendation_S2_PubMed_OR_NCT_R0_no_trials.csv
S2_PubMed_OR_NCT,S2_PubMed_OR_NCT_R1,HIGH,Address Inadequate Sex Consideration,7 guidelines (9.3%) cite trials but have inadequate sex consideration.,7,"[33070654, 33170755, 33250265, 34074137, 35072519, 36120864, 41164866]",<5% of citations mention sex or avg score <1,At least 10% of citations should mention sex with avg score ≥1,These guidelines cite trials but fail to systematically consider sex-based differences in their evidence review.,recommendation_S2_PubMed_OR_NCT_R1_inadequate_sex.csv
S2_PubMed_OR_NCT,S2_PubMed_OR_NCT_R2,MEDIUM,Strengthen Weak Sex Consideration,45 guidelines (60.0%) have weak sex consideration.,45,"[31813278, 31838890, 31857196, 32068084, 32148086, 32460555, 33081524, 33081527, 33081528, 33827230, 33934611, 34187171, 34315230, 34404224, 34407637, 34496612, 34632822, 35306832, 35708012, 36043414, 36055903, 36252095, 36307329, 36475715, 36633003, 36912134, 37092336, 37288568, 38047353, 38314551, 38406869, 38415358, 38567497, 38634276, 38736080, 38779844, 38804130, 39315436, 39429201, 39676661, 39782908, 40373524, 40526054, 40966736, 41122889]",5-10% citations mention sex,≥20% citations mention sex with systematic stratification,These guidelines acknowledge sex but do not systematically integrate sex-based analysis.,recommendation_S2_PubMed_OR_NCT_R2_weak.csv
S4_Registry_Verified,S4_Registry_Verified_R0,CRITICAL,Include Clinical Trial Evidence,13 guidelines (17.3%) cite ZERO trials under this scenario definition. These guidelines lack any trial evidence base for this scenario.,13,"[31838890, 32453156, 33028085, 33070654, 33170755, 33250265, 33417901, 33840208, 34074137, 34648743, 35072519, 36120864, 41164866]",0 trial citations in this scenario,Cite at least some clinical trials that meet scenario definition,Guidelines without trial evidence cannot provide evidence-based recommendations for clinical practice. This is the most fundamental gap.,recommendation_S4_Registry_Verified_R0_no_trials.csv
S4_Registry_Verified,S4_Registry_Verified_R2,MEDIUM,Strengthen Weak Sex Consideration,1 guidelines (1.3%) have weak sex consideration.,1,[33934611],5-10% citations mention sex,≥20% citations mention sex with systematic stratification,These guidelines acknowledge sex but do not systematically integrate sex-based analysis.,recommendation_S4_Registry_Verified_R2_weak.csv
S4_Registry_Verified,S4_Registry_Verified_R3,LOW,Adopt Best Practices from Strong Performers,15 guidelines (20.0%) demonstrate strong sex consideration.,60,"[31813278, 31838890, 31857196, 32068084, 32148086, 32453156, 32776842, 33028085, 33070654, 33081524, 33081527, 33170755, 33250265, 33417901, 33518378, 33691468, 33827230, 33840208, 33934611, 34074137, 34187171, 34315230, 34404224, 34407637, 34496612, 34648743, 35072519, 35306832, 35708012, 35753858, 35862198, 36043414, 36055903, 36120864, 36252095, 36307329, 36475715, 36503287, 36529563, 36621810, 36633003, 36912134, 37092336, 37288568, 38047353, 38406869, 38415358, 38567497, 38779844, 38804130, 39101202, 39315436, 39429201, 39676661, 40371484, 40373524, 40526054, 41084821, 41122889, 41164866]",Variable performance across guidelines,Adopt systematic approach from high performers,Strong performers provide models for integrating sex considerations.,recommendation_S4_Registry_Verified_R3_strong.csv
S5_All_NCTs,S5_All_NCTs_R0,CRITICAL,Include Clinical Trial Evidence,13 guidelines (17.3%) cite ZERO trials under this scenario definition. These guidelines lack any trial evidence base for this scenario.,13,"[31838890, 32453156, 33028085, 33070654, 33170755, 33250265, 33417901, 33840208, 34074137, 34648743, 35072519, 36120864, 41164866]",0 trial citations in this scenario,Cite at least some clinical trials that meet scenario definition,Guidelines without trial evidence cannot provide evidence-based recommendations for clinical practice. This is the most fundamental gap.,recommendation_S5_All_NCTs_R0_no_trials.csv
S5_All_NCTs,S5_All_NCTs_R2,MEDIUM,Strengthen Weak Sex Consideration,1 guidelines (1.3%) have weak sex consideration.,1,[33934611],5-10% citations mention sex,≥20% citations mention sex with systematic stratification,These guidelines acknowledge sex but do not systematically integrate sex-based analysis.,recommendation_S5_All_NCTs_R2_weak.csv
S5_All_NCTs,S5_All_NCTs_R3,LOW,Adopt Best Practices from Strong Performers,15 guidelines (20.0%) demonstrate strong sex consideration.,60,"[31813278, 31838890, 31857196, 32068084, 32148086, 32453156, 32776842, 33028085, 33070654, 33081524, 33081527, 33170755, 33250265, 33417901, 33518378, 33691468, 33827230, 33840208, 33934611, 34074137, 34187171, 34315230, 34404224, 34407637, 34496612, 34648743, 35072519, 35306832, 35708012, 35753858, 35862198, 36043414, 36055903, 36120864, 36252095, 36307329, 36475715, 36503287, 36529563, 36621810, 36633003, 36912134, 37092336, 37288568, 38047353, 38406869, 38415358, 38567497, 38779844, 38804130, 39101202, 39315436, 39429201, 39676661, 40371484, 40373524, 40526054, 41084821, 41122889, 41164866]",Variable performance across guidelines,Adopt systematic approach from high performers,Strong performers provide models for integrating sex considerations.,recommendation_S5_All_NCTs_R3_strong.csv
