guideline_pmid,citations_in_scenario,avg_sex_score,max_sex_score,citations_with_sex,cites_sex_differences,cites_sex_stratification,cites_sex_subgroup,sex_snippets_count,sex_evidence_snippets,exclusion_snippets_count,exclusion_evidence_snippets,pct_citing_sex,scenario_id,category
31813278,48.0,0.54,2.0,19.0,0.0,0.0,0.0,0.0,,0.0,,39.6,S2_PubMed_OR_NCT,Weak
31838890,9.0,0.11,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,,11.1,S2_PubMed_OR_NCT,Weak
31857196,20.0,0.65,2.0,9.0,0.0,0.0,0.0,0.0,,0.0,,45.0,S2_PubMed_OR_NCT,Weak
32068084,29.0,0.66,2.0,12.0,1.0,0.0,0.0,1.0,"[ABSTRACT] itral valve prolapse and holosystolic mr for age, gender, atrial fibrillation, ejection fraction, and ero (flow convergence). mid-late systolic mr versus holosystolic mr groups were well matched, including for comorbidity, blood pressure, and heart rate (all p>0.10). mid-late systolic mr versus holosystolic mr caused similar color jet area, midsystolic regurgitant flow, and peak velocity (p>0.40). despite identical ero (0.25±0.15 versus 0.25±0.15 cm(2); p=0.53), the shorter duration of mid-late systolic mr (233±56 versus 426±50 ms; p<0.0001) yielded lower regurgitant volume (24.8±13.4 versus 48.6±25.6 ml; p<0.0001). mr consequences, systolic pulmonary pressure, and left ventricular and left atrial volume index (all p<0.001) were more benign in mid-late systolic mr versus holosys...[truncated]",0.0,,41.4,S2_PubMed_OR_NCT,Weak
32148086,47.0,0.68,2.0,23.0,0.0,0.0,0.0,0.0,,0.0,,48.9,S2_PubMed_OR_NCT,Weak
32460555,8.0,0.5,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,,25.0,S2_PubMed_OR_NCT,Weak
33081524,37.0,0.24,2.0,7.0,0.0,0.0,0.0,0.0,,0.0,,18.9,S2_PubMed_OR_NCT,Weak
33081527,101.0,0.11,2.0,10.0,0.0,0.0,0.0,0.0,,0.0,,9.9,S2_PubMed_OR_NCT,Weak
33081528,66.0,0.64,2.0,30.0,0.0,0.0,0.0,0.0,,0.0,,45.5,S2_PubMed_OR_NCT,Weak
33827230,56.0,0.73,3.0,26.0,0.0,0.0,0.0,0.0,,4.0,"l woman within 12 months of last menses without a negative pregnancy test or not committing to adequate birth control (e.g. || angiography that is considered atherosclerotic
6. negative pregnancy test in a female who has had any menses in the last 18 || ricular assist device
* pregnancy or lactation (a negative pregnancy test must be obtained prior to randomization for women",46.4,S2_PubMed_OR_NCT,Weak
33934611,2.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,,50.0,S2_PubMed_OR_NCT,Weak
34187171,17.0,0.47,2.0,6.0,1.0,0.0,0.0,1.0,[ABSTRACT] 7% had received midazolam 0.06 mg kg(-1). age and gender differences in neuropsychological and physiological responses,0.0,,35.3,S2_PubMed_OR_NCT,Weak
