guideline_pmid,citations_in_scenario,avg_sex_score,max_sex_score,citations_with_sex,cites_sex_differences,cites_sex_stratification,cites_sex_subgroup,sex_snippets_count,sex_evidence_snippets,exclusion_snippets_count,exclusion_evidence_snippets,cites_trials_with_women,pct_citing_sex,scenario_id,category
31838890,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,S5_All_NCTs,Inadequate - No Trials Cited
32453156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,S5_All_NCTs,Inadequate - No Trials Cited
33028085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,S5_All_NCTs,Inadequate - No Trials Cited
33070654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,S5_All_NCTs,Inadequate - No Trials Cited
33170755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,S5_All_NCTs,Inadequate - No Trials Cited
33250265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,S5_All_NCTs,Inadequate - No Trials Cited
33417901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,S5_All_NCTs,Inadequate - No Trials Cited
33840208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,S5_All_NCTs,Inadequate - No Trials Cited
34074137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,S5_All_NCTs,Inadequate - No Trials Cited
34648743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,S5_All_NCTs,Inadequate - No Trials Cited
35072519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,S5_All_NCTs,Inadequate - No Trials Cited
36120864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,S5_All_NCTs,Inadequate - No Trials Cited
41164866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,S5_All_NCTs,Inadequate - No Trials Cited
